2008 SteinhöfelDie Mitte der Welt,"verschwanden
, die Diannes und meine übergroßen
Heldengestalten
auf
 die",Welt,"warfen
.

»Was willst du?«, frage",0,
2008 SteinhöfelDie Mitte der Welt,"dieser verrückten dicken Frau wie nach nichts sonst auf
 der",Welt,. Und von einem auf den anderen Moment erscheint mir,0,
2008 SteinhöfelDie Mitte der Welt,", meinte sie, sei so wichtig, dass die",Welt,"dafür stehenbleibe; ich solle mich glücklich schätzen, dass",0,
2008 SteinhöfelDie Mitte der Welt,"ein Gewehr
in
 die Hand
drücken
, dann wäre die",Welt,schon bald um ein gewaltiges Problem ärmer. Dianne musste,0,
2008 SteinhöfelDie Mitte der Welt,"in einem fraglosen, stillen Einverständnis über Gott und die",Welt,"und wahrscheinlich auch über die Frauen.

»Ich verstehe",0,
2008 SteinhöfelDie Mitte der Welt,"früher verströmten. Aber es ist Weihnachten, die ganze",Welt,"riecht nach Mandeln, und Gewohnheiten ändern sich, selbst",0,
2008 SteinhöfelDie Mitte der Welt,"jederzeit wieder dazustoßen, Phil. Ich zeige
 dir die",Welt,".«

»Ja. Die Welt
.«

Irgendwann",0,
2008 SteinhöfelDie Mitte der Welt,"zeige
 dir die Welt
.«

»Ja. Die",Welt,".«

Irgendwann brachte Händel
 zwei Bilder mit in
 den",0,
2008 SteinhöfelDie Mitte der Welt,"an Dianne zu schreiben, Briefe aus
 allen Ecken
 der",Welt,".

»Du willst noch zu Nicholas«, sagt",0,
2008 SteinhöfelDie Mitte der Welt,"Mal betrachte ich die beiden Wandkarten
: Amerika
. Die",Welt,". Ich gehe
zum
Regal
, streichele die Bonbongläser
 von",0,
2008 SteinhöfelDie Mitte der Welt,"und starr geradeaus
gerichtet
, nicht im
Gleichklang
 mit der",Welt,"und sich selbst, wie ich einmal geglaubt habe,",0,
2008 SteinhöfelDie Mitte der Welt,"hat zum Guten wie zum Schlechten nie verlernt, die",Welt,"mit den Augen
 eines Kindes zu sehen
.

Wenn ich",0,
2008 SteinhöfelDie Mitte der Welt,", Dirk und Björn – ihr seid meine Mitte der",Welt,".

Tiger. Jede Aufzählung wäre zu kurz. Ich",0,
2008 SteinhöfelDie Mitte der Welt,"erlebt haben.

Wann immer ich Lesern der Mitte der",Welt,"erkläre, die Handlung des Romans sei frei erfunden,",0,
2008 SteinhöfelDie Mitte der Welt,"einen Weg
nach draußen
 schreiben zu lassen in
 die wirkliche",Welt,… falls es so etwas wie eine wirkliche Welt da,0,
2008 SteinhöfelDie Mitte der Welt,"Wer unter
 dieser Prämisse ein Buch
 wie Die Mitte der",Welt,"liest, die Geschichte also an Kriterien wie Realitätsgehalt oder",0,
2008 SteinhöfelDie Mitte der Welt,"das ist reine Absicht.

Man kann Die Mitte der",Welt,", wie viele ihrer Leser es denn auch getan haben",0,
2008 SteinhöfelDie Mitte der Welt,"Mit etwas Glück begibt sich, wer Die Mitte der",Welt,"zu Ende gelesen hat, gemeinsam mit Phil auf eine",0,
2008 SteinhöfelDie Mitte der Welt,", stellte
 sich rasch heraus
, dass Die Mitte der",Welt,"mitnichten nur von Jugendlichen gelesen wurde. Das Buch
fand",0,
2008 SteinhöfelDie Mitte der Welt,"entweder freiwillig auf
 die Suche
nach
 ihrem Platz
in
 der",Welt,"begeben
 oder die (wie es eher die Regel ist",0,
2008 SteinhöfelDie Mitte der Welt,"bemerkte ich schon beim Schreiben, dass Die Mitte der",Welt,"den Rahmen
 des klassischen Jugendbuches zwangsläufig sprengen
 würde. Was",0,
2008 SteinhöfelDie Mitte der Welt,"der Frage beschäftigt haben, warum ich Die Mitte der",Welt,"geschrieben und woher
 ich die Ideen dazu bezogen habe.",0,
2008 SteinhöfelDie Mitte der Welt,"diesem Wissen gerüstet beginnen wir unseren eigenen Weg
durch
 die",Welt,".

Erwachsene Gehirne arbeiten etwas komplizierter als kindliche (komplexer",0,
2008 SteinhöfelDie Mitte der Welt,– mich immer am meisten fasziniert. Die Mitte der,Welt,"war mein erklärter Versuch, daran teilzuhaben, als Fundus",0,
2008 SteinhöfelDie Mitte der Welt,) als vages Abbild des Meeresgottes Poseidon das Licht der,Welt,".

Immer wieder greift
 Die Mitte der Welt
 auf die",0,
2008 SteinhöfelDie Mitte der Welt,"Licht der Welt
.

Immer wieder greift
 Die Mitte der",Welt,"auf die sich um die Götter rankenden Geschichten zurück
.",0,
2008 SteinhöfelDie Mitte der Welt,"ganz bewusst im Irgendwann und Irgendwo
. Die Mitte der",Welt,"sollte, so weit das überhaupt möglich war, eine",0,
2008 SteinhöfelDie Mitte der Welt,". Was war das für ein Typ, der die",Welt,"und das Leben lieber von außen beobachtete, als daran",0,
2008 SteinhöfelDie Mitte der Welt,"übertragenen Sinne also weigert, mit offenen
Augen
durch
 die",Welt,"zu gehen
, gegen Ende des Romans schließlich konsequent eines",0,
2008 SteinhöfelDie Mitte der Welt,"Bücher, die sich damit auseinandersetzen. Die Mitte der",Welt,"war auch der Versuch, einen Schritt weiter
 zu gehen",0,
2008 SteinhöfelDie Mitte der Welt,die Erkenntnis rasch: Ich bin zu langsam für diese,Welt,"…

… und es klappte bei aller Zeit, die",0,
2008 SteinhöfelDie Mitte der Welt,". Er hatte nur geduldig gewartet
.





Die Mitte der",Welt,"Wer oder was ist sie denn nun, die Mitte",0,
2008 SteinhöfelDie Mitte der Welt,"oder was ist sie denn nun, die Mitte der",Welt,? Eine mögliche Antwort auf diese erstaunlich häufig gestellte Frage,0,
2008 SteinhöfelDie Mitte der Welt,genannt: Für Phil bildet Visibles Bibliothek die Mitte der,Welt,", jener Ort
 also, »an dem Geschichten beginnen",0,
2008 SteinhöfelDie Mitte der Welt,"Dritte Variante: Zeus sandte
 zwei Adler aus in
 die",Welt,", einen nach
Westen
, den anderen nach
Osten
.",0,
2008 SteinhöfelDie Mitte der Welt,"fallen
, den Omphalos, um so die Mitte der",Welt,"zu markieren. Um
 den Stein
herum
entstand
 der Apollontempel",0,
2012 Josten Das Gluck von Frau Pfeiffer,"Amerika
 eingewanderte Familie, die Curtins, für die die",Welt,"so lange in Ordnung war, wie sie an
ihr",0,
2012 Josten Das Gluck von Frau Pfeiffer,"in beiden Fällen ging es darum, über
 eben diese",Welt,"nicht nachdenken zu müssen. Über Brunos ursächliche Mutter,",0,
2012 Josten Das Gluck von Frau Pfeiffer,"diese Termine, die Spaß machen, hinaus in
 die",Welt,", damit die Leute hingehen
 und Geld bezahlen und applaudieren",0,
2012 Josten Das Gluck von Frau Pfeiffer,".«

»Ich habe Zeit. Alle Zeit der",Welt,– dank der medizinischen Forschung und ihrer bahnbrechenden Ergebnisse.,0,
2012 Josten Das Gluck von Frau Pfeiffer,"gefunden
.« Seither war es, als sei die",Welt,"gedämpft und abgefedert und London
, die Stadt
 seiner Kindheit",0,
2012 Josten Das Gluck von Frau Pfeiffer,"das heute seht. Ich meine die Heimat
. Die",Welt,"ist doch viel kleiner
 geworden. Wenn ich mit Emma",0,
2012 Josten Das Gluck von Frau Pfeiffer,"weit mehr als früher wenigstens. In
 anderen Städten
 der",Welt,wird es kaum anders sein. Fühlt überhaupt noch irgendjemand,0,
2012 Josten Das Gluck von Frau Pfeiffer,"ein Bild
 und auf
 den Böden Teppiche
aus
 der ganzen",Welt,": Ein südpersischer Kashgai, ein antiker Kelim, im",0,
2012 Josten Das Gluck von Frau Pfeiffer,Krise hatte erst angefangen und war nicht das Ende der,Welt,". Den Banken folgte
 die Industrie
 und ihr wiederum die",0,
2012 Josten Das Gluck von Frau Pfeiffer,"von den Carens, Bernards, Hopes, Carls dieser",Welt,beigebracht worden waren und gegen die zu arbeiten ihnen sinnlos,0,
2012 Josten Das Gluck von Frau Pfeiffer,»Du bist und bleibst eine Romantikerin – wenn die,Welt,doch nur heil sein könnte. Lass es gut sein,0,
2012 Josten Das Gluck von Frau Pfeiffer,fortgeblieben war. Alles wie früher. Ein Stück heile,Welt,. Sollte er sie doch eine Romantikerin nennen. Wenn,0,
2012 Josten Das Gluck von Frau Pfeiffer,"nach
Frankreich
fahren
 wie in alten Zeiten, würden der",Welt,"den Rücken
kehren
, sich selbst genug sein, am",0,
2012 Josten Das Gluck von Frau Pfeiffer,", wovon ich rede. Gehen
 Sie hinaus in
 die",Welt,", schreiben Sie Ihre Mobilfunkaufzeichnungen ohne Forschungs- oder Ergebnisabsicht",0,
2012 Josten Das Gluck von Frau Pfeiffer,"Steingravuren
 – Hunderttausende lagen dort
 – zu
 den bedeutendsten der",Welt,"gehörten
. Auf manchen war die Schöpfungsgeschichte dargestellt. Lee",0,
2012 Josten Das Gluck von Frau Pfeiffer,"siegreichen, amerikanischen Demokraten und ausgelassene Straßenfeste auf
 der ganzen",Welt,. Die Reporter der BBC schienen in diesen Stunden überall,0,
2012 Josten Das Gluck von Frau Pfeiffer,"verschiedenen Standorten
 mit Berichten von diesem oder jenem Ende der",Welt,". Hope fragte sich, wie es sich anfühlen musste",0,
2013 Mora Das-Ungeheuer,"46



es endgültig geschafft. Wenige Monate später fing die",Welt,"an
, den Bach
hinunterzugehen
. Ich habe dich beim",0,
2013 Mora Das-Ungeheuer,"Jahr unserer Ehe gingen wir quasi Händchen haltend durch
 die",Welt,", im ständigen Geschrei der Angsthändler, aber wir hatten",0,
2013 Mora Das-Ungeheuer,". Wenn irgendwo
Wasser
 aufblitzt, erfasst jeden auf
 dieser",Welt,"die Freude. Und sei es, dass es die",0,
2013 Mora Das-Ungeheuer,"des Tanzens nicht weg
. Du hattest recht: die",Welt,"ist ein seltsamer Ort
.

82

 82

 82


5

Meine",0,
2013 Mora Das-Ungeheuer,"der hier
 alles, aber auch wirklich alles auf
 dieser",Welt,"versammelt
 war, sogar grüne Erbsen. Er stopfte
 sie",0,
2013 Mora Das-Ungeheuer,. Ich bekomme immer noch alle Newsletter. Dass die,Welt,"untergegangen
 sein könnte, aber die Newsletter immer noch kamen",0,
2013 Mora Das-Ungeheuer,"Strom gibt. Solange es Strom gibt, ist die",Welt,"nicht untergegangen
. Mein Handy
 ist zu 93 % aufgeladen",0,
2013 Mora Das-Ungeheuer,"wäre nichts. Als wäre es das Normalste auf
 der",Welt,", ein wan-delnder Lumpenhaufen sein zu wollen. Wie schön",0,
2013 Mora Das-Ungeheuer,"kleiner
Verrat
. Ich beschäftige mich mit dem Zustand der",Welt,", und was tust du? Suchst
 dir eine Aushilfsstelle",0,
2013 Mora Das-Ungeheuer,"liebe Frauen, Frauen sind doch das Wunderbarste auf
 der",Welt,", und natürlich sind wir neidisch, wie denn auch",0,
