Phrase,Total Frequency,,,,,,,
,,,,,,,,
"Wand
",827,Öffnung / Schließung,,,,,,
"Treppe
",765,Öffnung / Schließung,,,,,,
"offen
",671,Öffnung / Schließung,,,,,,
"Mauer
",486,Öffnung / Schließung,,,,,,
"Thüre
",423,Öffnung / Schließung,,,,,,
"Mauern
",390,Öffnung / Schließung,,,,,,
"Eingang
",386,Öffnung / Schließung,,,,,,
"Trennung
",324,Öffnung / Schließung,,,,,,
"öffnen
",291,Öffnung / Schließung,,,,,,
"geöffnet
",288,Öffnung / Schließung,,,,,,
"geschlossen
",287,Öffnung / Schließung,,,,,,
"Fenstern
",280,Öffnung / Schließung,,,,,,
"Türe
",256,Öffnung / Schließung,,,,,,
"Verbindung
",250,Öffnung / Schließung,,,,,,
"offenen
",246,Öffnung / Schließung,,,,,,
"Wände
",237,Öffnung / Schließung,,,,,,
"Wänden
",213,Öffnung / Schließung,,,,,,
"Türen
",212,Öffnung / Schließung,,,,,,
"Stufen
",209,Öffnung / Schließung,,,,,,
"Tor
",200,Öffnung / Schließung,,,,,,
"Haustür
",186,Öffnung / Schließung,,,,,,
"öffnet
",179,Öffnung / Schließung,,,,,,
"Grenze
",175,Öffnung / Schließung,,,,,,
"Treppen
",155,Öffnung / Schließung,,,,,,
"Vorhang
",152,Öffnung / Schließung,,,,,,
"Eintritt
",144,Öffnung / Schließung,,,,,,
"schloß
",137,Öffnung / Schließung,,,,,,
"Tore
",122,Öffnung / Schließung,,,,,,
"Festung
",116,Öffnung / Schließung,,,,,,
"Ausgang
",116,Öffnung / Schließung,,,,,,
"offene
",114,Öffnung / Schließung,,,,,,
"schloss
",104,Öffnung / Schließung,,,,,,
"Empfang
",104,Öffnung / Schließung,,,,,,
"Thüren
",101,Öffnung / Schließung,,,,,,
"öffneten
",93,Öffnung / Schließung,,,,,,
"Thor
",91,Öffnung / Schließung,,,,,,
"Pforte
",87,Öffnung / Schließung,,,,,,
"Öffnung
",76,Öffnung / Schließung,,,,,,
"öffne
",71,Öffnung / Schließung,,,,,,
"Thore
",66,Öffnung / Schließung,,,,,,
"Oeffnung
",65,Öffnung / Schließung,,,,,,
"Zugang
",60,Öffnung / Schließung,,,,,,
"Zutritt
",57,Öffnung / Schließung,,,,,,
"Zaun
",55,Öffnung / Schließung,,,,,,
"Vorhänge
",54,Öffnung / Schließung,,,,,,
"Gitter
",54,Öffnung / Schließung,,,,,,
"Fensterscheiben
",52,Öffnung / Schließung,,,,,,
"Treppenhaus
",51,Öffnung / Schließung,,,,,,
"Fensters
",49,Öffnung / Schließung,,,,,,
"Wohnungstür
",48,Öffnung / Schließung,,,,,,
"Schloss
",46,Öffnung / Schließung,,,,,,
"Entfernung
",43,Öffnung / Schließung,,,,,,
"Hausthür
",41,Öffnung / Schließung,,,,,,
"Einzug
",40,Öffnung / Schließung,,,,,,
"offenen Fenster
",33,Öffnung / Schließung,,,,,,
"geöffneten
",32,Öffnung / Schließung,,,,,,
"Fensterbrett
",31,Öffnung / Schließung,,,,,,
"Eingangstür
",31,Öffnung / Schließung,,,,,,
"geschlossenen
",30,Öffnung / Schließung,,,,,,
"Aufgang
",30,Öffnung / Schließung,,,,,,
"Fensterläden
",27,Öffnung / Schließung,,,,,,
"offene Fenster
",27,Öffnung / Schließung,,,,,,
"Türrahmen
",26,Öffnung / Schließung,,,,,,
"Hindernis
",26,Öffnung / Schließung,,,,,,
"Schlüssel
",26,Öffnung / Schließung,,,,,,
"Grenzen
",26,Öffnung / Schließung,,,,,,
"Hindernisse
",26,Öffnung / Schließung,,,,,,
